2018-06-06 17:48:24.304 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::init:00266 | [manager] init begin
2018-06-06 17:48:24.329 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::init:00338 | [manager] max uploader count: 2, max downloader count: 2
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000007392 | ..\src\aspera_manager.cpp:download_thread_run:00210 | download thread - 0 run begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000007392 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01351 | [manager] do download thread - 0 begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000012272 | ..\src\aspera_manager.cpp:download_thread_run:00210 | download thread - 1 run begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000011664 | ..\src\aspera_manager.cpp:upload_thread_run:00196 | upload thread - 0 run begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000012272 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01351 | [manager] do download thread - 1 begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000011664 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01187 | [manager] do upload thread - 0 begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000010784 | ..\src\aspera_manager.cpp:check_thread_run:00182 | check thread - 0 run begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000010784 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01080 | [manager] do check thread - 0 begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000008496 | ..\src\aspera_manager.cpp:upload_thread_run:00196 | upload thread - 1 run begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000008496 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01187 | [manager] do upload thread - 1 begin
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::init:00408 | [manager] init success
2018-06-06 17:48:24.336 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::push_upload_task:00726 | push upload [task:0, job:1] success
2018-06-06 17:48:24.337 GMT+08:00 Wed |    Debug | T0000008496 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01212 | [upload | thread - 1 | uploader - 9608376] task info: [project:3441, user:1852991] (E:/Workspaces/3dmax/2014/test.txt) -> (/1852500/1852991//E/Workspaces/3dmax/2014/test.txt/E/Workspaces/3dmax/2014/test.txt)
