2018-06-13 13:18:47.242 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::init:00281 | [manager] init begin
2018-06-13 13:18:47.243 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::init:00349 | [manager] remote is transmit server, set transmit server: [42.123.110.47:8885]
2018-06-13 13:18:47.277 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::init:00390 | [manager] max uploader count: 1, max downloader count: 1
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000011656 | ..\src\udx_manager.cpp:resolve_thread_run:00170 | resolve thread - 0 run begin
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000011656 | ..\src\udx_manager.cpp:UdxManager::do_resolve:01134 | [manager] do resolve thread - 0 begin
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000009560 | ..\src\udx_manager.cpp:check_thread_run:00184 | check thread - 0 run begin
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000009560 | ..\src\udx_manager.cpp:UdxManager::do_check:01193 | [manager] do check thread - 0 begin
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::init:00486 | [manager] init success
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:upload_thread_run:00198 | upload thread - 0 run begin
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000012144 | ..\src\udx_manager.cpp:download_thread_run:00212 | download thread - 0 run begin
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:UdxManager::do_upload:01371 | [manager] do upload thread - 0 begin
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000012144 | ..\src\udx_manager.cpp:UdxManager::do_download:01787 | [manager] do download thread - 0 begin
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::push_upload_task:00846 | push upload [task:0, job:1] success
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:UdxManager::do_upload:01397 | [upload | thread - 0 | uploader - 10404088] task info: [storage:3441, user:100001, task:0] (E:/Workspaces/3dmax/2014/max2014.max) -> (/100000/100001//E/Workspaces/3dmax/2014/max2014.max)
2018-06-13 13:18:47.278 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:UdxManager::do_upload:01413 | [upload | thread - 0 | uploader - 10404088] upload begin: [task:0, job:1] (E:/Workspaces/3dmax/2014/max2014.max)
2018-06-13 13:18:47.279 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_session.cpp:IUdxSession::send_connect_request:00261 | [uploader - 10404088] acquire udx tcp success
2018-06-13 13:18:47.279 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_session.cpp:IUdxSession::send_connect_request:00278 | [uploader - 10404088] send connect request, with server: [42.123.110.47:8885]
2018-06-13 13:18:47.481 GMT+08:00 Wed |    Debug | T0000010204 | ..\src\udx_session.cpp:IUdxSession::recv_connect_response:00349 | [uploader - 10404088] recv connect response
2018-06-13 13:18:47.553 GMT+08:00 Wed |    Debug | T0000010204 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_recv_set_user_information_response:01083 | [uploader - 10404088] parse set user information response success
2018-06-13 13:18:47.553 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_session.cpp:IUdxSession::set_max_send_speed:00154 | [uploader - 10404088] set max upload speed: 1048576KB/S
2018-06-13 13:18:47.728 GMT+08:00 Wed |    Debug | T0000010204 | ..\src\udx_uploader.cpp:UdxUploader::on_recv_set_remote_directory_response:00220 | [uploader - 10404088] parse set remote directory response success
2018-06-13 13:18:47.873 GMT+08:00 Wed |    Debug | T0000010204 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_transmit_begin:00741 | [uploader - 10404088] file transmit begin notify: notify file name (E:/Workspaces/3dmax/2014/max2014.max)
2018-06-13 13:18:48.439 GMT+08:00 Wed |    Debug | T0000010204 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_transmit_done:00768 | [uploader - 10404088] file transmit done notify: notify file name (E:/Workspaces/3dmax/2014/max2014.max)
2018-06-13 13:18:48.439 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:UdxManager::uploader_upload_single_file:01348 | [uploader - 10404088] [task:0] upload path success (file) (E:/Workspaces/3dmax/2014/max2014.max)
2018-06-13 13:18:48.439 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:UdxManager::do_upload:01601 | [upload | thread - 0 | uploader - 10404088] upload success: [task:0, job:1] (E:/Workspaces/3dmax/2014/max2014.max), directory count (0), file count (1)
2018-06-13 13:18:48.439 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:UdxManager::do_upload:01611 | [upload | thread - 0 | uploader - 10404088] upload end: [task:0, job:1] (E:/Workspaces/3dmax/2014/max2014.max)
2018-06-13 13:18:49.278 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::exit:00500 | [manager] exit begin
2018-06-13 13:18:49.278 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::clear:00508 | [manager] clear begin
2018-06-13 13:18:49.278 GMT+08:00 Wed |    Debug | T0000012144 | ..\src\udx_manager.cpp:UdxManager::do_download:02002 | [manager] do download thread - 0 end
2018-06-13 13:18:49.278 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:UdxManager::do_upload:01619 | [manager] do upload thread - 0 end
2018-06-13 13:18:49.278 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_session.cpp:IUdxSession::send_disconnect_request:00306 | [uploader - 10404088] send disconnect request
2018-06-13 13:18:49.278 GMT+08:00 Wed |    Debug | T0000010388 | ..\src\udx_manager.cpp:upload_thread_run:00201 | upload thread - 0 run end
2018-06-13 13:18:49.278 GMT+08:00 Wed |    Debug | T0000012144 | ..\src\udx_manager.cpp:download_thread_run:00215 | download thread - 0 run end
2018-06-13 13:18:49.363 GMT+08:00 Wed |    Debug | T0000009560 | ..\src\udx_manager.cpp:UdxManager::do_check:01232 | [manager] do check thread - 0 end
2018-06-13 13:18:49.363 GMT+08:00 Wed |    Debug | T0000011656 | ..\src\udx_manager.cpp:UdxManager::do_resolve:01182 | [manager] do resolve thread - 0 end
2018-06-13 13:18:49.363 GMT+08:00 Wed |    Debug | T0000009560 | ..\src\udx_manager.cpp:check_thread_run:00187 | check thread - 0 run end
2018-06-13 13:18:49.363 GMT+08:00 Wed |    Debug | T0000011656 | ..\src\udx_manager.cpp:resolve_thread_run:00173 | resolve thread - 0 run end
2018-06-13 13:18:49.378 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::clear:00537 | [manager] wait fast udx destroy begin
2018-06-13 13:18:49.481 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::clear:00539 | [manager] wait fast udx destroy end
2018-06-13 13:18:49.481 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::clear:00571 | [manager] wait threads exit begin
2018-06-13 13:18:49.481 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::clear:00573 | [manager] wait threads exit end
2018-06-13 13:18:49.481 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::clear:00575 | [manager] clear end
2018-06-13 13:18:49.481 GMT+08:00 Wed |    Debug | T0000013232 | ..\src\udx_manager.cpp:UdxManager::exit:00502 | [manager] exit end
2018-06-13 13:19:59.930 GMT+08:00 Wed |    Debug | T0000012656 | ..\src\udx_manager.cpp:UdxManager::init:00281 | [manager] init begin
2018-06-13 13:19:59.930 GMT+08:00 Wed |    Debug | T0000012656 | ..\src\udx_manager.cpp:UdxManager::init:00349 | [manager] remote is transmit server, set transmit server: [42.123.110.47:8885]
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000012656 | ..\src\udx_manager.cpp:UdxManager::init:00390 | [manager] max uploader count: 1, max downloader count: 1
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000008972 | ..\src\udx_manager.cpp:resolve_thread_run:00170 | resolve thread - 0 run begin
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000008972 | ..\src\udx_manager.cpp:UdxManager::do_resolve:01134 | [manager] do resolve thread - 0 begin
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000010104 | ..\src\udx_manager.cpp:check_thread_run:00184 | check thread - 0 run begin
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000012656 | ..\src\udx_manager.cpp:UdxManager::init:00486 | [manager] init success
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000007460 | ..\src\udx_manager.cpp:upload_thread_run:00198 | upload thread - 0 run begin
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000011768 | ..\src\udx_manager.cpp:download_thread_run:00212 | download thread - 0 run begin
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000010104 | ..\src\udx_manager.cpp:UdxManager::do_check:01193 | [manager] do check thread - 0 begin
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000007460 | ..\src\udx_manager.cpp:UdxManager::do_upload:01371 | [manager] do upload thread - 0 begin
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000011768 | ..\src\udx_manager.cpp:UdxManager::do_download:01787 | [manager] do download thread - 0 begin
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000012656 | ..\src\udx_manager.cpp:UdxManager::push_upload_task:00846 | push upload [task:0, job:1] success
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000007460 | ..\src\udx_manager.cpp:UdxManager::do_upload:01397 | [upload | thread - 0 | uploader - 7072696] task info: [storage:3441, user:100001, task:0] (E:/Workspaces/3dmax/2014/max2014.max) -> (/100000/100001//E/Workspaces/3dmax/2014/max2014.max)
2018-06-13 13:19:59.959 GMT+08:00 Wed |    Debug | T0000007460 | ..\src\udx_manager.cpp:UdxManager::do_upload:01413 | [upload | thread - 0 | uploader - 7072696] upload begin: [task:0, job:1] (E:/Workspaces/3dmax/2014/max2014.max)
2018-06-13 13:19:59.960 GMT+08:00 Wed |    Debug | T0000007460 | ..\src\udx_session.cpp:IUdxSession::send_connect_request:00261 | [uploader - 7072696] acquire udx tcp success
2018-06-13 13:19:59.960 GMT+08:00 Wed |    Debug | T0000007460 | ..\src\udx_session.cpp:IUdxSession::send_connect_request:00278 | [uploader - 7072696] send connect request, with server: [42.123.110.47:8885]
2018-06-13 13:20:00.021 GMT+08:00 Wed |    Debug | T0000005080 | ..\src\udx_session.cpp:IUdxSession::recv_connect_response:00349 | [uploader - 7072696] recv connect response
2018-06-13 13:20:00.087 GMT+08:00 Wed |    Debug | T0000005080 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_recv_set_user_information_response:01083 | [uploader - 7072696] parse set user information response success
2018-06-13 13:20:00.087 GMT+08:00 Wed |    Debug | T0000007460 | ..\src\udx_session.cpp:IUdxSession::set_max_send_speed:00154 | [uploader - 7072696] set max upload speed: 1048576KB/S
